lambda,transmittance,rsr,tau_wvp,tau_other_gas
2.212,0.9910504,0.010598061906343114,0.004867154,0.004122736
2.212455,0.9870265,0.011247142560150847,0.009996676,0.0030616715
2.21291,0.9848558,0.011895903310865388,0.011497816,0.0037622584
2.213365,0.9899262,0.012624103594454535,0.0064236247,0.003701295
2.21382,0.97402936,0.013371425693803694,0.022272,0.004041798
2.214275,0.9776701,0.014210219243734147,0.017143656,0.005439389
2.21473,0.86193144,0.015109387904795702,0.1450113,0.0035682023
2.2151852,0.9256619,0.016089623069494106,0.07445272,0.0027934117
2.2156398,0.925416,0.017186904374021473,0.07361713,0.00389473
2.216095,0.76582706,0.018329888345874942,0.25310203,0.013696985
2.21655,0.9277291,0.019641832472957907,0.01789449,0.05712098
2.2170048,0.98166543,0.020954908056550592,0.006847877,0.011656845
2.21746,0.98960793,0.022505662024453,0.006073091,0.004373385
2.217915,0.9732693,0.02405641599235541,0.018500894,0.008593616
2.2183702,0.9575916,0.025929450143320716,0.035486292,0.007847658
2.2188249,0.9820081,0.027874391391934178,0.009355875,0.008799777
2.21928,0.9781514,0.030067682509422534,0.017798694,0.004292105
2.2197351,0.950255,0.03241503508287262,0.047212534,0.0038124241
2.22019,0.97291976,0.03501041968491385,0.0237277,0.003726006
2.220645,0.97881544,0.03795317956901918,0.0056672986,0.015744882
2.2211,0.97773343,0.04104421302299441,0.004826894,0.017691277
2.221555,0.93339396,0.0446538441350374,0.0047710026,0.06415691
2.22201,0.96521187,0.04828118488836875,0.0060542636,0.029353406
2.222465,0.96644634,0.052707115848407364,0.027594559,0.006534951
2.22292,0.94831413,0.05713072835325476,0.04772895,0.0053406297
2.223375,0.97905993,0.06265895475461636,0.01580259,0.005359792
2.22383,0.9708178,0.06841944051592029,0.019938715,0.009677758
2.224285,0.98111826,0.07501568510757634,0.01084078,0.0082215145
2.22474,0.9723287,0.08211441324543489,0.017484728,0.010576563
2.2251952,0.8500074,0.08983525433401093,0.1557512,0.00675885
2.2256498,0.9270252,0.09837581165959942,0.07040798,0.00536653
2.226105,0.9650241,0.10740352738947102,0.024250569,0.011351645
2.22656,0.9454882,0.11802638871731672,0.01188276,0.04417109
2.2270148,0.9413332,0.1287504982638679,0.01720111,0.043256994
