lambda,transmittance,rsr,tau_wvp,tau_other_gas
1.211,0.91832995,0.011451633873097838,0.0820371,0.0031613319
1.21127,0.65432924,0.0121551013423077,0.42156127,0.0025832434
1.21154,0.80091155,0.012858568602696543,0.21859719,0.003407611
1.2118101,0.837009,0.013562346444657303,0.1755577,0.0023628098
1.21208,0.8759063,0.014113245991605888,0.130135,0.00236112
1.21235,0.70101506,0.01430283998692456,0.35276031,0.0024656516
1.21262,0.8746735,0.014492433982243232,0.13202895,0.0018757163
1.21289,0.92831326,0.014682027977561903,0.07213625,0.0022497887
1.21316,0.91257375,0.014471371655924289,0.089628346,0.0018579758
1.21343,0.98107576,0.013985680981563175,0.017087562,0.0020180615
1.2136999,0.901166,0.013500204740170874,0.10214195,0.0019237977
1.21397,0.77314514,0.01301451406580976,0.25549823,0.0017902912
1.21424,0.79981226,0.013319387433528907,0.2212772,0.0021010302
1.21451,0.8196796,0.013723278074825472,0.19699433,0.0018473874
1.21478,0.7989473,0.014127168716122037,0.22256157,0.0018987054
1.2150501,0.8339449,0.014683742435987917,0.17979182,0.0017960975
1.21532,0.8702772,0.015908980355290602,0.13707957,0.0018639142
1.21559,0.89130944,0.01713475945741983,0.11326216,0.00180144
1.21586,0.9856423,0.018360538559549062,0.01256132,0.0019004453
1.21613,0.9529348,0.01984651780019658,0.04630879,0.0019000337
1.2164,0.87854356,0.021612654877724274,0.12746608,0.002023674
1.21667,0.85809386,0.023378791955251964,0.15105316,0.0019885462
1.2169399,0.81122833,0.02514414928131055,0.20718658,0.0020191267
1.2172099,0.9758447,0.027513423980241116,0.022321895,0.0021300004
1.21748,0.9898469,0.03005528909063873,0.008088126,0.0021168343
1.21775,0.95232797,0.03259715420103635,0.046569634,0.002276182
1.21802,0.8403859,0.035227908780603216,0.16702704,0.0068671154
1.2182901,0.93876076,0.03897374067828229,0.049124587,0.014070037
1.2185601,0.979144,0.04271791951687148,0.0058189277,0.015257612
1.21883,0.9275456,0.04646044529637079,0.059695084,0.015518247
1.2191,0.85324323,0.05085146720594371,0.14393236,0.014778275
1.21937,0.86672354,0.05634220746660146,0.12991953,0.013115742
1.21964,0.9650567,0.0618329477272592,0.024645198,0.010923165
1.21991,0.92181087,0.06732368798791695,0.07283483,0.008580413
1.22018,0.9136907,0.07475922806201282,0.08407997,0.006183125
1.2204499,0.8888346,0.08316299254551981,0.11374929,0.004094793
1.2207199,0.9646726,0.09157046893913438,0.032324787,0.0036416578
1.22099,0.9888885,0.09997794533274894,0.0061253407,0.005048341
1.22126,0.94074446,0.11266370807738876,0.05454781,0.0065359445
1.2215301,0.81886864,0.12552067029960168,0.19240639,0.0074253185
1.2218001,0.79907507,0.13837195866381716,0.21637727,0.007923115
1.22207,0.9696789,0.15274019431574323,0.022610968,0.008179322
1.22234,0.9761638,0.1714664330994092,0.015963865,0.008161065
1.22261,0.82421464,0.19019267188307518,0.18519892,0.008125464
1.22288,0.9499021,0.20891891066674118,0.04296856,0.008427797
1.22315,0.93761206,0.23215478815220525,0.05554106,0.008877885
1.22342,0.94262123,0.25899784336190096,0.050402455,0.008688343
1.2236899,0.8124968,0.28582904733309356,0.20012785,0.0075155115
1.2239599,0.95414704,0.31267210254278927,0.04039956,0.006537916
1.2242299,0.91266096,0.34879716359181084,0.08447159,0.006919232
1.2245,0.91277146,0.38654008194292394,0.08390935,0.0073604095
1.2247701,0.98218256,0.4242996638341479,0.011765693,0.006212417
1.2250401,0.9408871,0.46312823950766674,0.055503353,0.005428773
1.2253101,0.9032927,0.5081852977613807,0.095504224,0.006204426
1.22558,0.9393383,0.5532224632741437,0.056708146,0.005871356
1.22585,0.9805598,0.5982795215278577,0.014642168,0.004989492
1.22612,0.92163175,0.6433670952457216,0.07598659,0.0056228763
1.22639,0.98065245,0.6884928183867978,0.014069615,0.0054675965
1.22666,0.92251676,0.7336185415278739,0.07523403,0.005415607
1.22693,0.868787,0.77874426466895,0.13463135,0.006025955
1.2271999,0.8690536,0.815931587594534,0.13472845,0.005622034
1.2274699,0.92233646,0.8503623066300511,0.07519766,0.005647543
1.22774,0.96403116,0.8848082268660253,0.030775148,0.0058565135
1.22801,0.9595735,0.9186454382348859,0.035884168,0.0053821504
1.2282801,0.9831671,0.9371439625115331,0.0113940155,0.0055821147
1.2285501,0.98290277,0.9556424867881803,0.011878302,0.005366746
1.22882,0.92963654,0.9741328439459416,0.067698404,0.0052632196
1.22909,0.9644392,0.9875490884793665,0.030846098,0.005362327
1.22936,0.9502725,0.9907960869647637,0.04567398,0.005332479
1.22963,0.915564,0.994043085450161,0.08260372,0.005611265
1.2299,0.97637147,0.9972900839355582,0.018233974,0.0056781457
1.23017,0.9351396,0.9959807636739395,0.061190706,0.0058687115
1.2304399,0.97984684,0.9919932652446976,0.014443832,0.0059151677
1.2307099,0.9887621,0.9880040055528986,0.0052155377,0.0060859732
1.23098,0.97962165,0.9840129845985426,0.014441064,0.006147789
1.23125,0.9693902,0.9789772900590796,0.024878984,0.006209098
1.23152,0.98387337,0.9738580584142803,0.010058022,0.006200044
1.2317901,0.954196,0.9687388267694811,0.04052791,0.0063582542
1.2320601,0.9883943,0.9637179040112381,0.005303559,0.0063699754
1.23233,0.99074113,0.9590425913463091,0.0028314865,0.0064705736
1.2326,0.94965243,0.9543652136139485,0.045111995,0.006547258
1.23287,0.93879503,0.949687835881588,0.056477852,0.006680343
1.23314,0.95322716,0.9466385993776214,0.041065037,0.0068370546
1.23341,0.92159474,0.9451014982631237,0.074747965,0.00690167
1.23368,0.9836669,0.9435643971486262,0.009487328,0.0069805738
1.2339499,0.98791146,0.9420279746659672,0.0048600193,0.0073022274
1.23422,0.9888859,0.9421059259708854,0.0037627055,0.0074136686
1.23449,0.9812304,0.9425515822459333,0.011442993,0.0075050252
1.23476,0.98616254,0.9429972385209812,0.006311378,0.007622631
1.23503,0.98377085,0.9435931362587081,0.008656562,0.0077056955
1.2353001,0.9821059,0.9453885343748201,0.010279071,0.007777111
1.23557,0.9850587,0.947183139820682,0.007216378,0.00783765
1.23584,0.9827938,0.948978537936794,0.009511866,0.007844096
1.23611,0.9882647,0.951721080901157,0.003866151,0.007938604
1.23638,0.9888635,0.9558419588823426,0.0031433285,0.008055625
1.23665,0.9582292,0.959962836863528,0.034454204,0.0082140835
1.23692,0.96667725,0.9640837148447136,0.025598368,0.008292331
1.2371899,0.9768565,0.9673596251684685,0.014974653,0.008440858
1.23746,0.98850095,0.9702828942986708,0.0029415304,0.008624193
1.23773,0.98958796,0.973204873371887,0.0016858001,0.008780776
1.238,0.9852919,0.9761267601046787,0.0058690608,0.008948315
1.23827,0.9875389,0.9783421477540744,0.0034500314,0.009089372
1.23854,0.9820951,0.98055753540347,0.008883246,0.009183851
1.2388101,0.9873066,0.9827729230528658,0.0035388316,0.009235837
1.23908,0.9894006,0.9848500574319498,0.0013077968,0.0093481215
1.23935,0.98950875,0.9866018490879672,0.0010756764,0.009470959
1.23962,0.9897442,0.9883536407439847,0.00068443344,0.009624313
1.23989,0.98961353,0.9901054324000022,0.00059079914,0.00984997
1.24016,0.98908,0.9908979279430613,0.0009305821,0.010049436
1.24043,0.9812485,0.9910307358605159,0.008759806,0.010169831
1.2407,0.9690873,0.9911635437779706,0.021037005,0.0103634875
1.24097,0.9754588,0.9912963516954252,0.014416247,0.010431059
1.24124,0.9845424,0.9901610392318055,0.004957971,0.010620275
1.24151,0.985323,0.988867309972118,0.004081276,0.010704547
1.24178,0.98247814,0.9875735807124306,0.006847904,0.010829211
1.24205,0.9865723,0.9864661612106322,0.0024712996,0.011047327
1.24232,0.9873449,0.9861776267544914,0.0014833926,0.011252474
1.24259,0.98749346,0.9858889648538028,0.000826978,0.011758406
1.24286,0.9874268,0.9856003029531143,0.0009753428,0.011677589
1.24313,0.98626256,0.9848030936291867,0.0019912345,0.011841376
1.2434,0.987046,0.9834579276472206,0.001017774,0.012020906
1.24367,0.98641765,0.9821127616652546,0.0014222767,0.012253143
1.24394,0.98483735,0.9807675956832885,0.0023929814,0.012885817
1.24421,0.98173064,0.9793892600597943,0.0059499466,0.01248827
1.24448,0.9803331,0.9780014469439733,0.0071813855,0.012681484
1.24475,0.9845914,0.9766136338281524,0.0026642617,0.012864289
1.24502,0.98623616,0.9751157096762556,0.0006705253,0.013188908
1.24529,0.98448306,0.9722437172179399,0.0010080094,0.014630594
1.24556,0.98095906,0.9693717247596242,0.005463714,0.013760801
1.2458299,0.98519266,0.9665010002891488,0.0010383783,0.013879721
1.2461,0.9850363,0.9624795651030824,0.0009582754,0.014118533
1.24637,0.9843627,0.9565023860841928,0.0013272909,0.014433454
1.24664,0.9818989,0.9505252070653032,0.0014901492,0.016776755
1.24691,0.9832965,0.9445480280464137,0.0015594519,0.015285171
1.2471801,0.9842167,0.9340113075685822,0.000808927,0.0151002575
1.24745,0.9831466,0.9212081578459766,0.0015955687,0.015401495
1.24772,0.98283285,0.9083993530219034,0.0017102894,0.015606016
1.24799,0.98005646,0.8955905481978302,0.0020249318,0.018120099
1.24826,0.97321045,0.8741017413531156,0.0077916062,0.019363306
1.24853,0.9796694,0.8522795217288792,0.0038446062,0.01669545
1.2488,0.98063946,0.8304573021046429,0.0025348458,0.01701551
1.2490699,0.9812338,0.8063071238252421,0.0016358712,0.017308632
1.2493399,0.9806433,0.7754590324543195,0.0013018341,0.01824461
1.24961,0.9713298,0.7446109410833969,0.0018648412,0.027224379
1.24988,0.9790261,0.7137628497124743,0.0022467973,0.01895018
1.25015,0.98032355,0.6801344363381868,0.001179678,0.018692993
1.2504201,0.98055047,0.6442646097142102,0.00049573276,0.0191454
1.25069,0.9800025,0.608426442248772,0.000609393,0.01959069
1.25096,0.9733095,0.5725724452040645,0.0004999269,0.026553161
1.25123,0.9702979,0.5374963793563958,0.00044860475,0.029703507
1.2515,0.978468,0.5025556307139271,0.000934308,0.020832827
1.25177,0.97322804,0.4676148820714583,0.005888946,0.021247977
1.25204,0.97564155,0.433259953936038,0.0028806976,0.021779358
1.25231,0.9765625,0.4022708034890306,0.0010727517,0.022643799
1.2525799,0.95659345,0.37129533478614996,0.0010034217,0.043373328
1.2528499,0.970473,0.34030618433914256,0.0015804328,0.028391212
1.25312,0.9759548,0.31249423142214666,0.0005790643,0.023759944
1.2533901,0.97525674,0.28864673746507863,0.00072792335,0.024326624
1.2536601,0.97378856,0.26480976755653524,0.0014016398,0.02515942
1.2539301,0.9712757,0.2409727976479919,0.0017615086,0.027383434
1.2542,0.9369391,0.22148009498560164,0.0048860796,0.060250875
1.25447,0.96758497,0.20349440999822294,0.0032381115,0.02971387
1.25474,0.9714535,0.18550872501084423,0.001532898,0.027428979
1.25501,0.9713537,0.16771834214768752,0.0010809818,0.027983628
1.25528,0.9682922,0.1550013483389426,0.0034919288,0.028729469
1.25555,0.9620333,0.1422843545301977,0.005387152,0.03331903
1.2558199,0.92514575,0.12957297528825576,0.002507856,0.07529604
1.2560899,0.963717,0.11812871988868698,0.003439497,0.033518057
1.2563599,0.9672403,0.10923322121322743,0.001276416,0.032031935
1.2566301,0.9672205,0.10033379516528423,0.00075431546,0.032574486
1.2569001,0.96648514,0.09143829648982468,0.000635037,0.03345431
1.2571701,0.96143603,0.08412171204843319,0.0006955444,0.038631663
1.25744,0.91122097,0.07773560901862182,0.0011651918,0.09180468
1.25771,0.95884824,0.0713466852719245,0.0012150748,0.040807378
1.25798,0.9594195,0.06495776152522717,0.002048823,0.03937804
1.25825,0.9583721,0.060392250337476965,0.0029745502,0.03954469
1.25852,0.9555222,0.05597269312018706,0.0019406285,0.043556612
1.25879,0.9541395,0.051553135902897146,0.0011232633,0.0458222
1.25906,0.89516467,0.0474045981814373,0.0006467713,0.1101007
1.2593299,0.9403919,0.04420557019435019,0.0019852256,0.059473395
1.2595999,0.94272995,0.04100512920903556,0.0036399374,0.055335507
1.25987,0.9395651,0.03780327522549342,0.001515986,0.06082214
1.2601401,0.93630815,0.03504620100542512,0.0020924795,0.06371812
1.2604101,0.92861724,0.03270047840373064,0.0013136874,0.07274494
1.2606801,0.8944404,0.030354755802036157,0.0012398799,0.11031715
1.26095,0.89894927,0.028010068839459425,0.0041137994,0.102414906
1.26122,0.9178577,0.02617156710092832,0.0011172249,0.08459571
1.26149,0.9083044,0.024448424992432015,0.00071503833,0.09546069
1.26176,0.9021251,0.02272528288393571,0.002713456,0.100288555
1.26203,0.90606785,0.021058148428266216,0.0016149493,0.09702619
1.2623,0.9004411,0.01983900043052214,0.0012633922,0.103607155
1.2625699,0.8197741,0.018620390687964707,0.013349881,0.18537655
1.2628399,0.8693777,0.01740124269022063,0.006797639,0.13318007
1.26311,0.9029289,0.016287337503096327,0.0075339936,0.094577484
1.26338,0.87607175,0.015327744431439366,0.0026583525,0.12964894
1.2636501,0.8604063,0.014368151359782404,0.0030500004,0.14730048
1.2639201,0.88721955,0.013408558288125443,0.011039851,0.108622946
1.26419,0.8241542,0.012620049894108469,0.0024588692,0.19093877
1.26446,0.843691,0.011903036121312209,0.00090586476,0.16906308
1.26473,0.8908522,0.011186022348515947,0.0010025222,0.114574224
