lambda,transmittance,rsr,tau_wvp,tau_other_gas
8.333,0.73456967,0.010033462554572553,0.28951904,0.018951394
8.335705,0.6712442,0.0113039952441043,0.37279108,0.025831185
8.33841,0.57763946,0.013796197691435258,0.5205527,0.028252631
8.341115,0.36344707,0.016298940049968562,0.9861226,0.025998725
8.343821,0.06473701,0.01880745675264291,2.696081,0.041341934
8.346525,0.0070343358,0.021315844048085123,4.9478254,0.009126325
8.349231,0.16368751,0.02382596378344361,1.7865897,0.023206664
8.351934,0.47794977,0.026364097711450582,0.7189688,0.019280888
8.35464,0.6410614,0.028951594653813993,0.42655435,0.018075591
8.357345,0.67799425,0.03674265612164749,0.3496867,0.03892996
8.36005,0.6177666,0.045394500224934124,0.45446867,0.027175836
8.362755,0.72432345,0.054061190041217705,0.2864387,0.0360785
8.36546,0.6638605,0.06274138069404167,0.39856124,0.011122177
8.368165,0.7386197,0.07141850871492199,0.25421438,0.048757624
8.370871,0.7940257,0.08013542729348484,0.21363905,0.01700034
8.373575,0.78933173,0.0889580510122859,0.20996664,0.02660191
8.37628,0.7225652,0.10612851844033841,0.29790854,0.027039047
8.378985,0.51969314,0.1326153766742075,0.6364545,0.018062236
8.38169,0.73033327,0.15917071307920722,0.2603453,0.053909052
8.384395,0.70420676,0.18577642088344676,0.31146613,0.03921716
8.387099,0.74732256,0.21238499869128566,0.23405042,0.05720796
8.389805,0.72407675,0.23901277183963224,0.28962848,0.033229467
8.392509,0.59262353,0.2657347968161182,0.45463258,0.0685633
8.395215,0.43412116,0.29426608508660096,0.77631676,0.058115076
8.39792,0.67356336,0.3416377445167589,0.33703902,0.058134075
8.400625,0.6178472,0.38921776816962733,0.4235247,0.05798953
8.40333,0.73256207,0.43684548975973186,0.28646442,0.024742773
8.406035,0.70965743,0.4845139136288712,0.2769706,0.06600199
8.40874,0.71819925,0.5321655372313041,0.30840448,0.022603616
8.411446,0.6510391,0.5797789712072012,0.3564554,0.07273024
8.41415,0.6042153,0.6272923539976298,0.47309864,0.030725962
8.416856,0.4552006,0.6660266853492302,0.7456179,0.041399162
8.4195595,0.21981212,0.7006019832523099,1.4676291,0.04735267
8.422265,0.024848154,0.7351483972791278,3.6681025,0.026869332
8.42497,0.00093810324,0.7696559327187844,6.9025855,0.069064565
8.427675,0.06157842,0.804175633418089,2.765509,0.021934735
8.43038,0.29259476,0.8386499472676059,1.1543628,0.07460364
8.4330845,0.44339845,0.8729783399073909,0.77959234,0.03369419
8.43579,0.5318281,0.89904132410947,0.57277036,0.058664832
8.438495,0.6653573,0.9053424372122814,0.3570645,0.050366715
8.4412,0.7149989,0.9114886960840547,0.2953108,0.040163383
8.443905,0.58208543,0.9175340633105095,0.46366313,0.07747491
8.44661,0.6406447,0.9235678132644218,0.420235,0.025045263
8.449315,0.7287505,0.929599441362494,0.23220293,0.08422079
8.45202,0.7784538,0.935626846990204,0.2213949,0.029050631
8.454724,0.7536108,0.9416268579683635,0.20693539,0.07594388
8.45743,0.7781866,0.9456243154445865,0.2062735,0.044515483
8.4601345,0.76964813,0.9493978650489348,0.20521224,0.056609564
8.46284,0.74982125,0.9531707927705662,0.21015832,0.07776209
8.465545,0.72367924,0.9569391752321139,0.284616,0.03879104
8.46825,0.39918202,0.9607088679705453,0.82176954,0.09656828
8.470955,0.65022117,0.9644779602327233,0.40263596,0.027806833
8.47366,0.72186875,0.9682492167361085,0.24080078,0.085111044
8.476365,0.77970725,0.9721510957400143,0.20883948,0.03999736
8.479071,0.761131,0.9761801659594378,0.21141756,0.061532203
8.481775,0.69905573,0.9802071907916806,0.29855436,0.059470426
8.484481,0.55359566,0.9842378881311757,0.5551224,0.036198307
8.487185,0.6906589,0.9882658469158397,0.2862503,0.083859
8.48989,0.75740427,0.9922925286329379,0.23525427,0.042603876
8.492595,0.7043332,0.9962720819042422,0.2594288,0.09107505
8.495299,0.6919952,0.9993714820315188,0.33509246,0.03308377
8.498005,0.5685962,0.9958352324367737,0.49955043,0.06503432
8.50071,0.53234273,0.992224271087646,0.5830949,0.047373325
8.503415,0.5562645,0.988589112608427,0.54652107,0.03999035
8.50612,0.41459104,0.9849477969013439,0.8107722,0.06969082
8.508825,0.20017077,0.9813051970615164,1.5839641,0.024619965
8.51153,0.021476397,0.9776398090095069,3.761723,0.079078354
8.5142355,0.00028594394,0.9739335832762319,8.137409,0.022307457
8.51694,0.007839144,0.9654627470140327,4.781663,0.06696193
8.519645,0.017759552,0.9550786287972834,3.9959126,0.03491815
8.522349,0.20657282,0.9446752339142297,1.5310049,0.046097398
8.525055,0.48433197,0.9342521019689236,0.6730509,0.05193367
8.52776,0.62422293,0.9238326691776058,0.44341117,0.027836474
8.530465,0.65334314,0.9134081192980595,0.36495745,0.060695276
8.53317,0.71582234,0.9029829825223573,0.3165747,0.017748589
8.535875,0.6444218,0.8921573701607185,0.37960556,0.059796035
8.53858,0.71660274,0.8805275320409436,0.3110309,0.022202758
8.5412855,0.7375192,0.86889080343821,0.2621661,0.042297166
8.54399,0.7619164,0.8572538818183469,0.23682944,0.035088878
8.546696,0.6884965,0.8456123629450192,0.34816352,0.025081554
8.5494,0.7664901,0.833976391301413,0.23261371,0.033319693
8.552106,0.6847417,0.822363674122798,0.3567548,0.02195885
8.55481,0.77993965,0.8108028674230232,0.22381029,0.0247283
8.557514,0.81269664,0.8040222112371112,0.18891773,0.018479643
8.56022,0.81401765,0.7976550366642232,0.1889958,0.016777253
8.562924,0.8073479,0.7913047061785092,0.19376071,0.020239929
8.56563,0.7930096,0.7849592442617984,0.2151159,0.016804107
8.568335,0.691704,0.7786160205488317,0.34302863,0.025568813
8.57104,0.71470314,0.7722870758907985,0.31485254,0.021035641
8.573745,0.6013876,0.766005066999727,0.47598928,0.032526333
8.57645,0.18956356,0.763738556949391,1.6401321,0.022898696
8.579155,0.13585933,0.7649611733086079,1.9563204,0.039815366
8.581861,0.016458126,0.7662115524253843,4.079172,0.027762808
8.584565,0.20549384,0.7674845560675226,1.5409571,0.0413825
8.58727,0.6030695,0.7687581670619743,0.46808177,0.03764102
8.589974,0.6484916,0.770035329670491,0.3958059,0.037300304
8.59268,0.66833645,0.7713490317915972,0.35904256,0.043921035
8.595385,0.7751707,0.7736219734419867,0.223644,0.03102805
8.59809,0.78131545,0.7813922736500888,0.1914594,0.055316895
8.600795,0.76049984,0.7892137931009612,0.24507193,0.02870741
8.6035,0.773308,0.7970584772841525,0.19128704,0.06579077
8.606205,0.796524,0.8049060499798951,0.19604857,0.03144941
8.608911,0.75996304,0.8127564114504646,0.21506839,0.059417058
8.611615,0.81734693,0.8206092749070103,0.16069575,0.040995844
8.614321,0.81277597,0.8284751040587465,0.15722488,0.05007483
8.617025,0.79761124,0.8377563469276845,0.1579765,0.068157434
8.61973,0.7986709,0.8475258275651844,0.18662915,0.038177185
8.622435,0.7842489,0.8572999843338025,0.15989129,0.08313759
8.625139,0.8311872,0.8670794895777987,0.15545587,0.029444342
8.627845,0.77370834,0.8768624792424363,0.16624296,0.09031727
8.630549,0.82291627,0.8866410925794697,0.1623441,0.032556694
8.633255,0.76967764,0.8964193682329984,0.1849858,0.076797634
8.63596,0.8108084,0.9059217826924069,0.16516832,0.044555075
8.638665,0.8140903,0.914923124972401,0.1531644,0.052519538
8.64137,0.79592913,0.9239150104738579,0.15269502,0.07555014
8.644075,0.82605803,0.9329062742473823,0.1546358,0.036454465
8.64678,0.78390425,0.9418939470029034,0.15399264,0.08947561
8.649486,0.8264628,0.95088310522838,0.15380317,0.036797237
8.65219,0.77423906,0.9598390307811531,0.15593703,0.09993758
8.654895,0.81862855,0.9687421231953808,0.16657934,0.033545423
8.657599,0.746923,0.9719526949273506,0.21570252,0.07609047
8.660305,0.709346,0.9748729374412987,0.28866628,0.054745678
8.66301,0.75344217,0.9777756309354891,0.22343375,0.059669096
8.665715,0.7757226,0.9806707677449394,0.18613446,0.06782589
8.66842,0.7765114,0.9835648884849102,0.21387634,0.039067633
8.671125,0.6433416,0.9864359543624883,0.35300186,0.08807764
8.67383,0.55503625,0.9892533780050844,0.5558825,0.03283944
8.676536,0.12645118,0.9871223415466756,1.9716932,0.09620628
8.67924,0.31050646,0.9812029449691775,1.1372491,0.032301854
8.681945,0.37313095,0.9752496180801846,0.9049431,0.08088295
8.68465,0.22178346,0.9692697759182202,1.4670361,0.03901747
8.687355,0.60449433,0.9632918075597422,0.43582448,0.06753857
8.69006,0.70902777,0.9573068561889639,0.28890455,0.054955993
8.692764,0.7037459,0.9512632384385047,0.30081216,0.050525773
8.69547,0.560901,0.9433455395747466,0.4952449,0.082966045
8.698174,0.1875875,0.926892202536596,1.6392988,0.03421152
8.70088,0.116568886,0.9103546592702552,2.0646517,0.08462193
8.703585,0.548175,0.8937903919584393,0.573994,0.027166508
8.70629,0.6894301,0.8772127970199128,0.28453454,0.087355286
8.708995,0.7776459,0.8606410547316584,0.21392797,0.037555996
8.7117,0.7551588,0.844028432605698,0.21756624,0.063260905
8.714405,0.78185755,0.827363797975429,0.19849071,0.047591995
8.717111,0.7890062,0.8038346530965063,0.19103411,0.045947053
8.719815,0.7814088,0.7783156881703585,0.17939104,0.06726587
8.72252,0.8229577,0.7527707599303767,0.16049682,0.034353737
8.7252245,0.78813344,0.7272058627169882,0.1721732,0.065914795
8.72793,0.82882845,0.701631967900981,0.1622387,0.025503375
8.730635,0.79905504,0.6760638806606524,0.15932563,0.06499968
8.73334,0.81740564,0.6504729986451575,0.1660054,0.035614382
8.736045,0.80900574,0.6237402712397474,0.15685129,0.05509795
8.73875,0.8225333,0.595180254961804,0.15598908,0.039377216
8.741455,0.8138991,0.566621766532631,0.16565698,0.040261682
8.74416,0.7819144,0.5380513510727793,0.18769912,0.05831091
8.746865,0.81404674,0.5094696846072923,0.16070777,0.045029677
8.74957,0.81183964,0.4808997412088307,0.15819047,0.050261952
8.752275,0.83357245,0.45234462047721063,0.16017097,0.02186368
8.75498,0.8034261,0.42384039223965714,0.16720212,0.051667914
8.757685,0.77986366,0.39990270482033496,0.21824214,0.03039392
8.760389,0.62170935,0.3760509570884218,0.4266732,0.048609424
8.763095,0.79356545,0.3522046289108712,0.19963917,0.031580053
8.7657995,0.8197914,0.32837311186896045,0.17106941,0.027635947
8.768505,0.79620963,0.3045332049126156,0.17941123,0.048481554
8.77121,0.7754839,0.28072517794836305,0.22502737,0.029240716
8.773915,0.8000053,0.2569547600159966,0.18496059,0.038176164
8.77662,0.8092661,0.2382224789344308,0.19015115,0.021476258
8.7793255,0.7759879,0.22287473489272022,0.2069192,0.0466991
8.78203,0.7637062,0.20756164654164042,0.23449416,0.035077997
8.784736,0.71165085,0.19226792343853386,0.29660463,0.043563064
8.78744,0.58583146,0.17697958215018197,0.50940454,0.025318448
8.790145,0.19181979,0.16169632998432448,1.6072631,0.043935787
8.79285,0.10417302,0.14644825684486468,2.211597,0.050104853
8.795555,0.42106688,0.1325632781056111,0.8162075,0.04875589
8.79826,0.45149472,0.12380646304913656,0.75392365,0.041267958
8.800965,0.21677355,0.11509045411134664,1.4925652,0.03633644
8.80367,0.015819935,0.10639902931963,4.1086483,0.03783779
8.806375,0.020856792,0.09771162968130549,3.8339067,0.036170337
8.80908,0.2469448,0.08902133264922894,1.3510636,0.047527097
8.811785,0.5429431,0.08035059051468636,0.5955545,0.015196214
8.81449,0.64724416,0.07170548194997382,0.38481796,0.050213736
8.817195,0.691704,0.06627296217530207,0.34055933,0.028037898
8.8199005,0.7253172,0.061615770115751964,0.2768037,0.04434252
8.822605,0.75524867,0.05697146727977065,0.24853706,0.032171197
8.82531,0.7656227,0.0523354484382175,0.2548637,0.012202127
8.828014,0.7662469,0.047699420474780714,0.20620841,0.06004237
8.83072,0.8138087,0.04306530975032077,0.18731895,0.018710949
8.833425,0.78852195,0.03844518534770284,0.20351173,0.03408332
8.83613,0.7963214,0.034768326444379216,0.1869094,0.04084294
8.838835,0.8100679,0.03240535402553801,0.16642067,0.04421648
8.84154,0.8112577,0.030050365895260053,0.16221613,0.04695331
8.844245,0.8196268,0.027703386741368664,0.16142537,0.037480775
8.846951,0.8053518,0.025356181677245713,0.16618896,0.050287053
8.849655,0.78279775,0.023010218245921272,0.20889078,0.035990074
8.852361,0.8147322,0.020668824525945425,0.18480936,0.020086477
8.855065,0.81772137,0.018367556023182754,0.15579993,0.045433845
8.85777,0.8162363,0.017209239176716636,0.15383503,0.049216274
8.860475,0.83314574,0.01606179227784101,0.15837018,0.024176355
8.86318,0.84725285,0.014917491026395809,0.15297525,0.012780752
8.865885,0.81162304,0.013775219922862217,0.1497777,0.058941636
8.868589,0.83409375,0.01263293040825339,0.14951046,0.031899005
8.871295,0.8174597,0.011492189894149,0.15386242,0.04769115
