lambda,transmittance,rsr,tau_wvp,tau_other_gas
1.542,0.94896257,0.010013948655465024,0.04604724,0.0063386536
1.5425999,0.9710394,0.010732988095620132,0.024159936,0.0052283085
1.5431999,0.97615415,0.01149547866149236,0.020004528,0.0041302373
1.5438,0.97846025,0.012344817223840576,0.01863865,0.0031365452
1.5444,0.9349827,0.013262959523717102,0.06493995,0.0022872873
1.545,0.9911128,0.01421559068380816,0.007309738,0.0016171907
1.5455999,0.98174876,0.015313036154533841,0.017315995,0.0011038766
1.5461999,0.9735054,0.01646894441905859,0.026114784,0.0007370638
1.5468,0.9844842,0.01774207682321783,0.015127997,0.0005095491
1.5474,0.98414207,0.019139885017574593,0.015664104,0.00032090532
1.548,0.98714846,0.02060015249685389,0.012732711,0.00020217926
1.5486,0.992693,0.022322697093099773,0.0072026486,0.00013118167
1.5491999,0.9921056,0.02412984654964574,0.007838744,8.7009685e-05
1.5498,0.98653364,0.026106648642085506,0.013497326,6.054631e-05
1.5504,0.9911956,0.028338792347257277,0.00879648,4.681e-05
1.551,0.98224765,0.03069877271937789,0.017870098,4.176211e-05
1.5516,0.9814075,0.03345418539729398,0.018727032,4.0524985e-05
1.5522,0.9696898,0.03634643822146571,0.030739997,3.9052007e-05
1.5528,0.99206716,0.03951306830864536,0.00792677,3.7742804e-05
1.5534,0.9956263,0.04297952502656836,0.0043487293,3.4599187e-05
1.554,0.9878259,0.046596175244953714,0.012218726,3.0098101e-05
1.5546,0.9860306,0.050965094542481056,0.014045689,2.2283619e-05
1.5552,0.9952161,0.055553062150764804,0.004776405,1.8979243e-05
1.5558001,0.9965224,0.06058016679497864,0.0034634955,2.0138752e-05
1.5564001,0.995197,0.06604911171300545,0.004784817,2.973444e-05
1.557,0.9950987,0.07173942066051886,0.004875918,3.7430447e-05
1.5576,0.9964888,0.0784104081087897,0.0034688695,4.848207e-05
1.5582,0.9939533,0.08546096469725403,0.0060065184,5.8521793e-05
1.5588001,0.9914054,0.09327216419683391,0.00856239,6.939756e-05
1.5594001,0.9936253,0.10199478888428652,0.006316372,7.8746794e-05
1.56,0.99276054,0.11117175402558188,0.0071829567,8.279442e-05
1.5605999,0.99303424,0.12156847507379781,0.006905841,8.429681e-05
1.5611999,0.9933591,0.13250648277978408,0.006584237,7.883608e-05
1.5618,0.9945886,0.14452995055613735,0.0053579044,6.810952e-05
1.5624,0.9760836,0.15782056544704973,0.024151446,5.560166e-05
1.563,0.98538506,0.17174596476942078,0.014672233,5.0526687e-05
1.5636,0.9933642,0.18740975157125106,0.0066023576,5.5556433e-05
1.5641999,0.98294324,0.20385534217401288,0.017117713,8.62583e-05
1.5648,0.9936237,0.22186871786441897,0.0062502306,0.00014645964
1.5654,0.99368817,0.2418173552994619,0.006053121,0.00027878216
1.566,0.98511225,0.26273528565915977,0.014434833,0.00056484755
1.5666,0.9927963,0.28585875829412266,0.006047959,0.0011818898
1.5672,0.9870638,0.3094814814175786,0.010469018,0.0025515608
1.5678,0.981488,0.3341078448689165,0.01317133,0.00551423
1.5684,0.98334515,0.36044063189566483,0.005424156,0.011370976
1.569,0.9708693,0.3876288544433843,0.008455815,0.021107698
1.5696,0.95850754,0.41739224928580926,0.0077233496,0.034654472
1.5702,0.94595623,0.4473273047225034,0.005044633,0.050514404
1.5708001,0.9305132,0.4776117669191935,0.006637828,0.06538115
1.5714,0.9183178,0.5074357110626615,0.00859832,0.076613404
1.572,0.91582114,0.5370324956383393,0.0053935405,0.082540594
1.5726,0.9169937,0.5664082078808897,0.0049678604,0.08168682
1.5732,0.92413324,0.595638246940109,0.0040141637,0.07488483
1.5738001,0.9346388,0.6245826762212844,0.0057397196,0.061855376
1.5744001,0.954403,0.6523472851835633,0.0034083591,0.043260984
1.575,0.97496504,0.6795250178631296,0.005272039,0.0200816
1.5756,0.9753194,0.7042486483152829,0.008098377,0.016891845
1.5762,0.95859164,0.7284781839176161,0.0062900134,0.036000118
1.5768001,0.94680995,0.7517242583627259,0.0052241217,0.04943273
1.5774,0.94066626,0.7731054193616194,0.0044733365,0.056693576
1.578,0.9368412,0.7935632353754862,0.006568431,0.05867314
1.5785999,0.93020976,0.8103857837662641,0.015019459,0.057325657
1.5791999,0.9420288,0.8261834028000163,0.006152336,0.053567
1.5798,0.94699603,0.8399332264109376,0.006609433,0.04785098
1.5804,0.9539308,0.851560822950632,0.0054463544,0.041717794
1.581,0.9608887,0.8621286969173271,0.0044624265,0.035434376
1.5816,0.9654099,0.8693964921536835,0.006367954,0.028834563
1.5821999,0.97522,0.8759102091220122,0.0024159276,0.022676205
1.5828,0.97151196,0.8809163844114474,0.011362378,0.017539289
1.5834,0.9761363,0.8847581612886766,0.010771174,0.013381907
1.584,0.98535055,0.8880183415965134,0.0047653504,0.009992443
1.5846,0.98882014,0.88836850705627,0.0040050647,0.0072378227
1.5852,0.99098456,0.8881570841603896,0.0039686547,0.0050877235
1.5858,0.9924271,0.8868219544113161,0.0040655257,0.003536139
1.5864,0.9810717,0.8848334822351345,0.01667093,0.002438807
1.587,0.98263013,0.8825182623220664,0.01585745,0.0016650184
1.5876,0.99137837,0.8775634763257422,0.0075230654,0.0011359699
1.5882,0.9956017,0.8719780680805606,0.0036107593,0.00079718436
1.5888001,0.99692357,0.8651298624706772,0.0025038528,0.0005773338
1.5894,0.9969634,0.8590334437739878,0.0025997653,0.0004415263
1.59,0.99007916,0.8533121552473691,0.00962653,0.00034385445
1.5906,0.99339795,0.8494414031673209,0.006338978,0.0002849398
1.5912,0.9955639,0.8458935827163415,0.00420996,0.00023606804
1.5918001,0.98653555,0.8429910458571099,0.013340981,0.00021490599
1.5924001,0.98592764,0.8410984299386193,0.013967792,0.00020450841
1.593,0.996083,0.8397102908307748,0.003708909,0.00021582941
1.5936,0.9971307,0.8398038630609737,0.0026254545,0.00024795122
1.5941999,0.98255277,0.8408479767731832,0.017304387,0.00029681108
1.5948,0.9887748,0.8437952069299137,0.010909822,0.00037891904
1.5954,0.9971792,0.8467314804851643,0.0023141357,0.00051063276
1.596,0.9904873,0.8496625680393664,0.008834709,0.00072349695
1.5965999,0.985954,0.8529897371901959,0.012963192,0.0011823986
1.5971999,0.9782073,0.8565780572716432,0.019701574,0.0023321349
1.5978,0.9880126,0.8606897382715669,0.007066053,0.0049937787
1.5984,0.98422986,0.8653690708224124,0.0055997143,0.010296088
1.599,0.9769857,0.8703326165319109,0.0041880263,0.01909522
1.5996,0.96723425,0.8760673263933962,0.0019553073,0.031359248
1.6001999,0.9541145,0.8810573878534986,0.0014333394,0.045538247
1.6008,0.9402583,0.8845581674976797,0.0020544075,0.05954621
1.6014,0.92465127,0.8892983796481074,0.007460077,0.07087846
1.602,0.9137248,0.894658512371803,0.012313811,0.077912
1.6026,0.91932756,0.9002733288876643,0.004088225,0.08002454
1.6032,0.92414945,0.9053947055268231,0.0023799567,0.076501496
1.6038,0.9339205,0.9095297656997452,0.0016236624,0.06674024
1.6044,0.9484221,0.914290015625297,0.0019182505,0.05103747
1.605,0.96953243,0.9193631263629017,0.0010014198,0.029939948
1.6056,0.9882679,0.923708102914995,0.0010310276,0.01077046
1.6062,0.9762111,0.9277242680039459,0.0019379203,0.02213855
